T_ambient,T_setpoint,compressor_speed_ratio,P_evap,P_cond,T_evap,T_cond,T_suction,T_discharge,superheat,subcooling,compression_ratio,W_comp,Q_cond,COP,delta_T_evap,delta_T_cond,pressure_ratio,capacity_ratio,d_T_discharge,d_superheat,d_subcooling,d_COP,d_W_comp,fault_type,fault_severity,is_faulty
17.73124015064772,42.24327197282128,1.0,12.131316274181682,28.673437443931743,12.231028086890493,46.98439015853351,18.714394709140848,77.11493005050976,5.872083964329589,4.128903953001282,2.3635883193446716,2465.56422945609,7071.960716919592,2.8682930391473462,5.500212063757228,4.741118185712224,2.3635883193446716,0.7071960716919592,-0.18251471176608902,0.3928777806402248,-0.9234356546999836,0.013370607341496754,96.2034030614318,Normal,0.0,0
19.26808616080494,46.91956329032286,1.0,12.334494315418896,32.13988087935703,13.451210754027763,51.71729182160678,20.002035423337915,83.29904793952002,6.435277804709863,5.239637255337115,2.6056910042254553,2813.477243141313,7488.9045148698,2.661796726142438,5.816875406777179,4.797728531283916,2.6056910042254553,0.74889045148698,-0.3067771733180962,0.023401238771771915,0.7692785783500815,-0.0628988768206038,202.12683519864913,Normal,0.0,0
19.13158580084687,22.460982799607468,1.0,12.30128006956161,17.852159316524695,13.179139636290035,28.369555926649394,19.546173807867316,46.13071715091885,5.477478145206849,3.989477419660839,1.4512440344072994,1184.533437352117,7428.250135144589,6.271034570159163,5.952446164556836,5.908573127041926,1.4512440344072994,0.7428250135144588,-1.0324619002569335,-0.8305891887942707,0.5434540905495604,0.28694187742711197,14.781573971274838,Normal,0.0,0
17.374482744559042,37.240254074630336,1.0,11.316217449095774,25.714192240329208,11.516706729536324,42.13817022478248,18.273733706678865,70.91310489770864,6.4028393196212505,4.8387006843461515,2.2723310466594038,2064.4594221869957,7202.316717436581,3.4887179859446062,5.8577760150227185,4.897916150152142,2.2723310466594038,0.7202316717436581,-0.010054384543209949,0.13154208797527023,0.8165132680468501,0.35985418014844495,-88.77346268515248,Normal,0.0,0
21.646214963565704,41.851119950161646,1.0,13.439248863151162,28.216518546602035,17.394046748019992,46.3374760760142,23.25803023914488,74.4646874306913,5.771764427887639,5.066117286089624,2.0995606848213373,2333.580374161907,7920.561276012711,3.394166904946369,4.252168215545712,4.486356125852552,2.0995606848213373,0.7920561276012711,0.825467940080685,0.32907290942160294,0.6807636128657784,-0.011845057766263434,67.70574953793584,Normal,0.0,0
15.384910507560695,31.97885972217973,1.0,11.121267845816638,21.998884424910052,10.894500275959222,36.292167885697,16.733400912902255,62.9085958995371,5.300945170100575,3.7281873987389593,1.9780914127686553,1839.2194983524103,6841.352365507667,3.7197041308208254,4.490410231601473,4.3133081635172665,1.9780914127686553,0.6841352365507667,0.12386088690715269,-1.3122013077238996,-1.5614053527518568,-0.1588067349321034,8.587580696115765,Normal,0.0,0
17.7689311486938,32.63488797596289,1.0,11.406241539776097,22.99978308566207,11.79185063959308,36.977757961727114,19.1215401590604,64.0847054728733,6.743699144842932,4.364162808156354,2.0164208346331014,1792.5588471774547,7146.250400078965,3.98661969247558,5.977080509100718,4.342869985764224,2.0164208346331014,0.7146250400078965,0.24409284544564258,1.2380127195602348,-0.3609958308655532,0.19740282257730657,-64.35600746236537,Normal,0.0,0
23.329070927219238,19.961089156963613,1.0,13.37437148967017,15.83266953639044,16.99629663009566,24.878775445889378,23.100473967997075,39.57282681269767,5.917531112301891,5.144222124659127,1.1838066221368955,750.4331914355685,8025.373922999851,10.694321645938155,6.332774297123578,4.917686288925765,1.1838066221368955,0.8025373922999851,1.6916266689082349,0.18911652782994803,0.636958183690342,0.060419242741314605,-14.12102183873128,Normal,0.0,0
16.013604794377024,24.566377618407156,1.0,11.207536717403126,18.1871323336754,11.270484298241243,29.140355393453074,16.922245802118486,52.38129311649848,4.774563935729956,3.7911579149202153,1.6227591122172562,1328.6235770223861,6929.295000476052,5.215393675314329,4.743120496135781,4.573977775045918,1.6227591122172562,0.6929295000476052,-0.49223525994316475,-2.126307038143617,-0.5029673762374598,0.2514848739263442,-34.03519804217035,Normal,0.0,0
19.257068358451857,25.74525208042501,1.0,12.106874121402678,19.654192927258304,14.482598423174828,31.754090984317756,19.63924913220434,53.61604825032804,5.599894151699075,4.816428957303653,1.6233912015747636,1446.998883310518,7264.881428543211,5.0206544817244385,4.774469935277029,6.0088389038927446,1.6233912015747636,0.7264881428543211,-0.33854658023274453,-0.9038612337942054,0.44475601550352994,-0.3963805853993385,-33.035130833082576,Normal,0.0,0
21.12736683755347,24.1399682524593,1.0,12.34570107863582,18.492323729787703,15.595020798923839,29.61791042457257,21.05962563398375,48.833950891131714,5.643831467793646,4.060245185670529,1.4978755448557382,1355.3066616220037,7837.708031004601,5.782977574702238,5.5323460386296315,5.47794217211327,1.4978755448557382,0.7837708031004601,0.988747936597349,0.3328361062175791,0.4655545256607261,-0.5489241577266251,172.44040449448653,Normal,0.0,0
23.496458553890445,41.26515334605646,1.0,13.514114131857987,28.119881485201493,18.65532438247718,45.585550287082036,24.57073745074809,73.1123601031296,5.725223689434959,3.9386157838645026,2.0807787481172793,2279.244477799832,8144.375156368575,3.5732784419117634,4.841134171413266,4.320396941025578,2.0807787481172793,0.8144375156368575,-0.026001478045230897,-1.0507163706262856,-1.1998746322345193,-0.14958881156827308,-12.962373181178918,Normal,0.0,0
18.248421524068736,30.610202677045816,1.0,11.958055958653345,21.511891497026372,13.938145831218606,37.272447435502905,19.056040718648873,61.86452167183735,5.637304238996013,4.185757634931605,1.7989455452798309,1836.5856918341542,7376.544383603699,4.01644443621736,4.31027569285013,6.6622447584570885,1.7989455452798309,0.7376544383603699,-0.24690363361248302,-0.13911693233901445,-0.2894629462926037,-0.008826590029215708,47.92300110347401,Normal,0.0,0
24.878285796871975,37.049113743759534,1.0,13.973209251633344,25.159664626170812,18.798002625284045,41.33611900119866,24.809928245353717,66.29693764151129,6.181849075171481,4.390985435947789,1.8005645069138194,2106.520569990238,7823.529806263815,3.713958419261992,6.080283171587929,4.287005257439127,1.8005645069138194,0.7823529806263815,1.473233206227306,0.1934659305966644,-1.1107692692528826,-0.3221020720234744,22.538584454155625,Normal,0.0,0
15.879232817636213,41.89507075229944,1.0,10.741340976496268,27.848439561503216,10.171680291058923,45.98965360065413,16.777153420586583,77.17368715604785,6.307135219178532,4.876927534966841,2.5926408650875112,2324.0126212656337,6229.11527913565,2.6803276463031156,5.70755252657729,4.09458284835469,2.5926408650875112,0.622911527913565,-0.45220068826061777,-0.09514993161388663,0.7144845110385711,-0.20745590783486811,-46.017447800047194,Normal,0.0,0
22.787715654485847,20.29034709195758,1.0,13.643342332593683,16.203869245353236,18.51911949662496,23.913698137640786,24.644628408514034,37.69297150198426,6.146466911748646,3.7055512179106374,1.1876759264951158,632.7862570161395,8359.528589766978,13.210667104538214,4.2685961578608875,3.6233510456832043,1.1876759264951158,0.8359528589766978,0.2777473453991277,-0.7832804920630103,-1.0287251713424639,-0.44189247897289263,-14.89474257503764,Normal,0.0,0
21.132650844931863,31.178399823391864,1.0,12.606902395094552,23.188589454922532,16.076577065431426,36.07561482866393,22.371120481377215,59.91039355786105,5.8735592768410845,4.781136435957246,1.839356626092814,1680.1724081396376,7914.357083045565,4.710443431105202,5.056073779500437,4.897215005272066,1.839356626092814,0.7914357083045565,0.1505974108918835,0.0005406158649750026,0.4700397023363827,0.5765645185623098,-115.79207616613985,Normal,0.0,0
16.822636662283408,25.15585679193748,1.0,11.92372964084412,18.945119627177068,11.628753229487069,29.90610179404579,18.588558161201693,50.414316073018064,5.9878513081145925,4.682267244516631,1.5888585365338659,1387.0210281382215,7291.9936713380275,5.257305782253328,5.193883432796339,4.750245002108308,1.5888585365338659,0.7291993671338027,-0.6439163461474422,0.0701768218865686,1.0583165308801168,-0.24306837483080646,18.90426071414413,Normal,0.0,0
14.508097317498947,42.35492228938206,1.0,10.681088844507684,28.57879041747894,8.908444271308293,47.547384252994476,16.145379552492034,78.94314255350889,6.287773254999947,3.795090285526095,2.6756439192221886,2417.858231300895,6508.131128799968,2.6916926081718024,5.599653046190655,5.192461963612416,2.6756439192221886,0.6508131128799968,-0.21920334637724181,-0.038100815701572976,-0.7005123697311197,-0.04534097423956496,46.88705740286332,Normal,0.0,0
21.417852828071418,43.63388864360623,1.0,13.378473612354133,30.569914111192354,16.219468606122387,49.07397914010196,21.625286023601593,78.83643231282431,6.195265298159758,5.2005931375169485,2.285007617233932,2564.3918198727433,7353.786797731295,2.867653351856435,5.198384221949031,5.440090496495735,2.285007617233932,0.7353786797731295,0.030759651559108647,0.6597598817250478,1.1346898528373384,-0.27175559671469607,139.01173407960232,Normal,0.0,0
18.915644036235847,32.22377751652793,1.0,12.214390306240517,22.447374325614483,13.843960056095302,37.38270993200596,20.467288941055592,61.3781948509873,7.162889895940842,5.258220050294701,1.8377809913398444,1772.4190902505477,7443.851973151831,4.199826110031107,5.071683980140545,5.158932415478027,1.8377809913398444,0.744385197315183,-0.5885704271127565,1.2199948418297604,-0.39157449622395823,-0.25156373279440736,-21.321996085601768,Normal,0.0,0
20.79469296729795,38.713624447315446,1.0,13.242283832912554,26.31995347479735,15.57837591104981,42.80364228666329,21.508004377498537,69.6347573106962,6.054742679723544,5.062521960854013,1.9875690482771091,2211.050630842166,7253.682551200937,3.280649683014308,5.216317056248142,4.090017839347844,1.9875690482771091,0.7253682551200937,-0.6884722551700975,-0.7981836605487382,0.337532790180739,-0.19066577709857624,-38.27070426952241,Normal,0.0,0
22.72898093720974,38.85006755299365,1.0,13.470104087215953,27.060675820211454,16.981805103659585,44.525226423773596,22.978681571422864,70.90751499942841,5.823192629193178,3.9480056823141694,2.0089433344389582,2299.070901170738,7686.66520975025,3.3433789300869448,5.7471758335501555,5.675158870779946,2.0089433344389582,0.768666520975025,-1.198424027868299,-0.3419523436151177,-0.4461274164136335,0.11629779204932644,-12.017337957753625,Normal,0.0,0
