experiment,protocol,reference,features,model,label,metric,value,n,note
X3,LOMO,global-median-TTdew-dmin0,residuals,gradient-boosting,__global__,accuracy,0.336549,5386,fold-mean; F1=0.308; mae_h=37.9115
X3,LOMO,global-median-TTdew-dmin0,residuals,gradient-boosting,__global__,f1,0.308138,5386,macro; mean of two LOMO folds
X3,LOMO,global-median-TTdew-dmin0.1,residuals,gradient-boosting,__global__,accuracy,0.334901,5386,fold-mean; F1=0.307; mae_h=38.0010
X3,LOMO,global-median-TTdew-dmin0.1,residuals,gradient-boosting,__global__,f1,0.307278,5386,macro; mean of two LOMO folds
X3,LOMO,global-median-TTdew-dmin0.25,residuals,gradient-boosting,__global__,accuracy,0.333852,5386,fold-mean; F1=0.307; mae_h=38.0410
X3,LOMO,global-median-TTdew-dmin0.25,residuals,gradient-boosting,__global__,f1,0.306567,5386,macro; mean of two LOMO folds
X3,LOMO,global-median-TTdew-dmin0.5,residuals,gradient-boosting,__global__,accuracy,0.333102,5386,fold-mean; F1=0.306; mae_h=38.0823
X3,LOMO,global-median-TTdew-dmin0.5,residuals,gradient-boosting,__global__,f1,0.305917,5386,macro; mean of two LOMO folds
X3,LOMO,global-median-TTdew-dmin1,residuals,gradient-boosting,__global__,accuracy,0.333308,5386,fold-mean; F1=0.306; mae_h=38.2057
X3,LOMO,global-median-TTdew-dmin1,residuals,gradient-boosting,__global__,f1,0.306389,5386,macro; mean of two LOMO folds
X3,LOMO,global-median-TTdew-dmin2,residuals,gradient-boosting,__global__,accuracy,0.333847,5386,fold-mean; F1=0.308; mae_h=38.6782
X3,LOMO,global-median-TTdew-dmin2,residuals,gradient-boosting,__global__,f1,0.30836,5386,macro; mean of two LOMO folds
X3,LOMO,knn-k1-mean-dist-TT-dmin0,residuals,gradient-boosting,__global__,accuracy,0.650109,5386,fold-mean; F1=0.505; mae_h=0.0000
X3,LOMO,knn-k1-mean-dist-TT-dmin0,residuals,gradient-boosting,__global__,f1,0.505323,5386,macro; mean of two LOMO folds
X3,LOMO,knn-k1-mean-dist-TT-dmin0.1,residuals,gradient-boosting,__global__,accuracy,0.54051,5386,fold-mean; F1=0.442; mae_h=5.6489
X3,LOMO,knn-k1-mean-dist-TT-dmin0.1,residuals,gradient-boosting,__global__,f1,0.442365,5386,macro; mean of two LOMO folds
X3,LOMO,knn-k1-mean-dist-TT-dmin0.25,residuals,gradient-boosting,__global__,accuracy,0.503759,5386,fold-mean; F1=0.420; mae_h=7.9559
X3,LOMO,knn-k1-mean-dist-TT-dmin0.25,residuals,gradient-boosting,__global__,f1,0.419931,5386,macro; mean of two LOMO folds
X3,LOMO,knn-k1-mean-dist-TT-dmin0.5,residuals,gradient-boosting,__global__,accuracy,0.501057,5386,fold-mean; F1=0.424; mae_h=8.6375
X3,LOMO,knn-k1-mean-dist-TT-dmin0.5,residuals,gradient-boosting,__global__,f1,0.42366,5386,macro; mean of two LOMO folds
X3,LOMO,knn-k1-mean-dist-TT-dmin1,residuals,gradient-boosting,__global__,accuracy,0.449618,5386,fold-mean; F1=0.372; mae_h=9.2356
X3,LOMO,knn-k1-mean-dist-TT-dmin1,residuals,gradient-boosting,__global__,f1,0.372283,5386,macro; mean of two LOMO folds
X3,LOMO,knn-k1-mean-dist-TT-dmin2,residuals,gradient-boosting,__global__,accuracy,0.426958,5386,fold-mean; F1=0.350; mae_h=13.8068
X3,LOMO,knn-k1-mean-dist-TT-dmin2,residuals,gradient-boosting,__global__,f1,0.34979,5386,macro; mean of two LOMO folds
X3,LOMO,knn-k1-mean-dist-TTdew-dmin0,residuals,gradient-boosting,__global__,accuracy,0.635156,5386,fold-mean; F1=0.486; mae_h=0.0000
X3,LOMO,knn-k1-mean-dist-TTdew-dmin0,residuals,gradient-boosting,__global__,f1,0.486166,5386,macro; mean of two LOMO folds
X3,LOMO,knn-k1-mean-dist-TTdew-dmin0.1,residuals,gradient-boosting,__global__,accuracy,0.550411,5386,fold-mean; F1=0.443; mae_h=5.1041
X3,LOMO,knn-k1-mean-dist-TTdew-dmin0.1,residuals,gradient-boosting,__global__,f1,0.443348,5386,macro; mean of two LOMO folds
X3,LOMO,knn-k1-mean-dist-TTdew-dmin0.25,residuals,gradient-boosting,__global__,accuracy,0.513248,5386,fold-mean; F1=0.417; mae_h=7.4914
X3,LOMO,knn-k1-mean-dist-TTdew-dmin0.25,residuals,gradient-boosting,__global__,f1,0.416532,5386,macro; mean of two LOMO folds
X3,LOMO,knn-k1-mean-dist-TTdew-dmin0.5,residuals,gradient-boosting,__global__,accuracy,0.508707,5386,fold-mean; F1=0.416; mae_h=6.9887
X3,LOMO,knn-k1-mean-dist-TTdew-dmin0.5,residuals,gradient-boosting,__global__,f1,0.4158,5386,macro; mean of two LOMO folds
X3,LOMO,knn-k1-mean-dist-TTdew-dmin1,residuals,gradient-boosting,__global__,accuracy,0.482933,5386,fold-mean; F1=0.388; mae_h=8.5733
X3,LOMO,knn-k1-mean-dist-TTdew-dmin1,residuals,gradient-boosting,__global__,f1,0.388011,5386,macro; mean of two LOMO folds
X3,LOMO,knn-k1-mean-dist-TTdew-dmin2,residuals,gradient-boosting,__global__,accuracy,0.438733,5386,fold-mean; F1=0.358; mae_h=11.9979
X3,LOMO,knn-k1-mean-dist-TTdew-dmin2,residuals,gradient-boosting,__global__,f1,0.358311,5386,macro; mean of two LOMO folds
X3,LOMO,knn-k1-mean-unif-TT-dmin0,residuals,gradient-boosting,__global__,accuracy,0.650109,5386,fold-mean; F1=0.505; mae_h=0.0000
X3,LOMO,knn-k1-mean-unif-TT-dmin0,residuals,gradient-boosting,__global__,f1,0.505323,5386,macro; mean of two LOMO folds
X3,LOMO,knn-k1-mean-unif-TT-dmin0.1,residuals,gradient-boosting,__global__,accuracy,0.54051,5386,fold-mean; F1=0.442; mae_h=5.6489
X3,LOMO,knn-k1-mean-unif-TT-dmin0.1,residuals,gradient-boosting,__global__,f1,0.442365,5386,macro; mean of two LOMO folds
X3,LOMO,knn-k1-mean-unif-TT-dmin0.25,residuals,gradient-boosting,__global__,accuracy,0.503759,5386,fold-mean; F1=0.420; mae_h=7.9559
X3,LOMO,knn-k1-mean-unif-TT-dmin0.25,residuals,gradient-boosting,__global__,f1,0.419931,5386,macro; mean of two LOMO folds
X3,LOMO,knn-k1-mean-unif-TT-dmin0.5,residuals,gradient-boosting,__global__,accuracy,0.501057,5386,fold-mean; F1=0.424; mae_h=8.6375
X3,LOMO,knn-k1-mean-unif-TT-dmin0.5,residuals,gradient-boosting,__global__,f1,0.42366,5386,macro; mean of two LOMO folds
X3,LOMO,knn-k1-mean-unif-TT-dmin1,residuals,gradient-boosting,__global__,accuracy,0.449618,5386,fold-mean; F1=0.372; mae_h=9.2356
X3,LOMO,knn-k1-mean-unif-TT-dmin1,residuals,gradient-boosting,__global__,f1,0.372283,5386,macro; mean of two LOMO folds
X3,LOMO,knn-k1-mean-unif-TT-dmin2,residuals,gradient-boosting,__global__,accuracy,0.426958,5386,fold-mean; F1=0.350; mae_h=13.8068
X3,LOMO,knn-k1-mean-unif-TT-dmin2,residuals,gradient-boosting,__global__,f1,0.34979,5386,macro; mean of two LOMO folds
X3,LOMO,knn-k1-mean-unif-TTdew-dmin0,residuals,gradient-boosting,__global__,accuracy,0.635156,5386,fold-mean; F1=0.486; mae_h=0.0000
X3,LOMO,knn-k1-mean-unif-TTdew-dmin0,residuals,gradient-boosting,__global__,f1,0.486166,5386,macro; mean of two LOMO folds
X3,LOMO,knn-k1-mean-unif-TTdew-dmin0.1,residuals,gradient-boosting,__global__,accuracy,0.550411,5386,fold-mean; F1=0.443; mae_h=5.1041
X3,LOMO,knn-k1-mean-unif-TTdew-dmin0.1,residuals,gradient-boosting,__global__,f1,0.443348,5386,macro; mean of two LOMO folds
X3,LOMO,knn-k1-mean-unif-TTdew-dmin0.25,residuals,gradient-boosting,__global__,accuracy,0.513248,5386,fold-mean; F1=0.417; mae_h=7.4914
X3,LOMO,knn-k1-mean-unif-TTdew-dmin0.25,residuals,gradient-boosting,__global__,f1,0.416532,5386,macro; mean of two LOMO folds
X3,LOMO,knn-k1-mean-unif-TTdew-dmin0.5,residuals,gradient-boosting,__global__,accuracy,0.508707,5386,fold-mean; F1=0.416; mae_h=6.9887
X3,LOMO,knn-k1-mean-unif-TTdew-dmin0.5,residuals,gradient-boosting,__global__,f1,0.4158,5386,macro; mean of two LOMO folds
X3,LOMO,knn-k1-mean-unif-TTdew-dmin1,residuals,gradient-boosting,__global__,accuracy,0.482933,5386,fold-mean; F1=0.388; mae_h=8.5733
X3,LOMO,knn-k1-mean-unif-TTdew-dmin1,residuals,gradient-boosting,__global__,f1,0.388011,5386,macro; mean of two LOMO folds
X3,LOMO,knn-k1-mean-unif-TTdew-dmin2,residuals,gradient-boosting,__global__,accuracy,0.438733,5386,fold-mean; F1=0.358; mae_h=11.9979
X3,LOMO,knn-k1-mean-unif-TTdew-dmin2,residuals,gradient-boosting,__global__,f1,0.358311,5386,macro; mean of two LOMO folds
X3,LOMO,knn-k1-median-unif-TT-dmin0,residuals,gradient-boosting,__global__,accuracy,0.650109,5386,fold-mean; F1=0.505; mae_h=0.0000
X3,LOMO,knn-k1-median-unif-TT-dmin0,residuals,gradient-boosting,__global__,f1,0.505323,5386,macro; mean of two LOMO folds
X3,LOMO,knn-k1-median-unif-TT-dmin0.1,residuals,gradient-boosting,__global__,accuracy,0.54051,5386,fold-mean; F1=0.442; mae_h=5.6489
X3,LOMO,knn-k1-median-unif-TT-dmin0.1,residuals,gradient-boosting,__global__,f1,0.442365,5386,macro; mean of two LOMO folds
X3,LOMO,knn-k1-median-unif-TT-dmin0.25,residuals,gradient-boosting,__global__,accuracy,0.503759,5386,fold-mean; F1=0.420; mae_h=7.9559
X3,LOMO,knn-k1-median-unif-TT-dmin0.25,residuals,gradient-boosting,__global__,f1,0.419931,5386,macro; mean of two LOMO folds
X3,LOMO,knn-k1-median-unif-TT-dmin0.5,residuals,gradient-boosting,Cond_Blockage,f1,0.348083,497,
X3,LOMO,knn-k1-median-unif-TT-dmin0.5,residuals,gradient-boosting,Evap_Airflow,f1,0.255668,774,
X3,LOMO,knn-k1-median-unif-TT-dmin0.5,residuals,gradient-boosting,LiquidLine,f1,0.0470793,593,
X3,LOMO,knn-k1-median-unif-TT-dmin0.5,residuals,gradient-boosting,No_Fault,f1,0.465886,1352,
X3,LOMO,knn-k1-median-unif-TT-dmin0.5,residuals,gradient-boosting,Overcharge,f1,0.671498,942,
X3,LOMO,knn-k1-median-unif-TT-dmin0.5,residuals,gradient-boosting,Undercharge,f1,0.852244,1228,
