estimator,dew,dmin,acc,f1,acc_14,acc_16,mae_healthy,n
knn-k3-mean-dist,TTdew,0.25,0.5151184498698751,0.4210482340279436,0.4884297520661157,0.5418071476736345,7.380687395800632,5386
knn-k3-mean-dist,TTdew,0.5,0.5092459722586002,0.41892951911733955,0.48140495867768596,0.5370869858395145,6.8741735920405524,5386
knn-k3-mean-dist,TTdew,1.0,0.4918341757549751,0.40070516331010647,0.4735537190082645,0.5101146325016858,8.111669238386922,5386
knn-k3-mean-dist,TTdew,2.0,0.4517876150086657,0.373326885092653,0.4194214876033058,0.48415374241402565,11.14166184612167,5386
knn-k5-median-unif,TTdew,0.0,0.6001734534086033,0.47656648727549655,0.6359504132231405,0.5643964935940661,2.2060270329345597,5386
knn-k5-median-unif,TTdew,0.1,0.5295267856645285,0.43519068843964936,0.518595041322314,0.540458530006743,6.479427164998788,5386
knn-k5-median-unif,TTdew,0.25,0.5092295324977848,0.41781490701683993,0.48305785123966943,0.5354012137559002,7.852632612379257,5386
knn-k5-median-unif,TTdew,0.5,0.5024381001209298,0.41294644520610446,0.47520661157024796,0.5296695886716116,7.763504244490046,5386
knn-k5-median-unif,TTdew,1.0,0.4802094536983889,0.39188288692040435,0.4516528925619835,0.5087660148347943,8.880944636804921,5386
knn-k5-median-unif,TTdew,2.0,0.4499722753186248,0.3760087456027593,0.40702479338842973,0.49291975724882,11.50463819267601,5386
knn-k5-mean-unif,TTdew,0.0,0.5850640593391774,0.47782157149150206,0.6,0.5701281186783547,2.736343085429569,5386
knn-k5-mean-unif,TTdew,0.1,0.526678388123248,0.4380412199185563,0.5041322314049587,0.5492245448415374,6.265224880821064,5386
knn-k5-mean-unif,TTdew,0.25,0.5183594511906288,0.4288291219366041,0.4888429752066116,0.547875927174646,7.529836611475611,5386
knn-k5-mean-unif,TTdew,0.5,0.5138130214051259,0.4270446610681623,0.4925619834710744,0.5350640593391773,7.684936441130519,5386
knn-k5-mean-unif,TTdew,1.0,0.4864397050874094,0.40188901846888336,0.4735537190082645,0.4993256911665543,8.435535660891963,5386
knn-k5-mean-unif,TTdew,2.0,0.45748538533127514,0.3781900394393705,0.43553719008264463,0.4794335805799056,10.684037368404857,5386
knn-k5-mean-dist,TTdew,0.0,0.6538657122317393,0.5090677494239058,0.737603305785124,0.5701281186783547,5.3339678504828174e-05,5386
knn-k5-mean-dist,TTdew,0.1,0.5467577447991842,0.45126660968252796,0.5446280991735537,0.5488873904248146,5.512366663452024,5386
knn-k5-mean-dist,TTdew,0.25,0.5209200135976326,0.4285552018345056,0.4983471074380165,0.5434929197572488,7.370656570139228,5386
knn-k5-mean-dist,TTdew,0.5,0.5136115646751336,0.426061480977062,0.49586776859504134,0.5313553607552259,7.483103575066984,5386
knn-k5-mean-dist,TTdew,1.0,0.49188251979737296,0.4065613163834866,0.48140495867768596,0.50236008091706,8.260306002092218,5386
knn-k5-mean-dist,TTdew,2.0,0.4572787737610272,0.37833837189860725,0.4351239669421488,0.4794335805799056,10.684770315196227,5386
knn-k10-median-unif,TTdew,0.0,0.5612585890784261,0.45631084664383437,0.5739669421487603,0.5485502360080917,3.194322088464195,5386
knn-k10-median-unif,TTdew,0.1,0.5026663062922487,0.41642682406083614,0.47768595041322315,0.5276466621712744,7.528391110833548,5386
knn-k10-median-unif,TTdew,0.25,0.4929062432081497,0.4050671257001557,0.46322314049586777,0.5225893459204316,8.6886241398743,5386
knn-k10-median-unif,TTdew,0.5,0.48355327318424235,0.4065323366365947,0.45867768595041325,0.5084288604180714,8.197789313051526,5386
knn-k10-median-unif,TTdew,1.0,0.4638307150460035,0.3929945082355903,0.44586776859504135,0.4817936614969656,8.736961761350667,5386
knn-k10-median-unif,TTdew,2.0,0.4517988999292254,0.3769326471394818,0.4140495867768595,0.48954821308159135,10.254193896905143,5386
knn-k10-mean-unif,TTdew,0.0,0.5316422206494542,0.4397535016587387,0.5177685950413223,0.545515846257586,5.1014088669648565,5386
knn-k10-mean-unif,TTdew,0.1,0.510218425906834,0.422280866957074,0.493801652892562,0.5266351989211059,7.25040161208774,5386
knn-k10-mean-unif,TTdew,0.25,0.5021595994271162,0.4151173301893308,0.49049586776859505,0.5138233310856373,8.096285287137572,5386
knn-k10-mean-unif,TTdew,0.5,0.4959222427177432,0.41347458100226453,0.49049586776859505,0.5013486176668914,8.241040850085517,5386
knn-k10-mean-unif,TTdew,1.0,0.47743419916073626,0.40119696884161044,0.4764462809917355,0.478422117329737,8.757058264215082,5386
knn-k10-mean-unif,TTdew,2.0,0.46341749190550763,0.38809162373443085,0.4450413223140496,0.4817936614969656,10.286796923953684,5386
knn-k10-mean-dist,TTdew,0.0,0.6520381123810903,0.5128771033403936,0.7433884297520661,0.5606877950101147,9.35772189574762e-05,5386
knn-k10-mean-dist,TTdew,0.1,0.5364374759672988,0.44641914320973963,0.531404958677686,0.5414699932569117,5.876175143658959,5386
knn-k10-mean-dist,TTdew,0.25,0.5139703136929276,0.4267682379783661,0.49793388429752067,0.5300067430883345,7.525979885145474,5386
knn-k10-mean-dist,TTdew,0.5,0.5050901957724737,0.4247858926842437,0.49669421487603305,0.5134861766689144,7.790208974543212,5386
knn-k10-mean-dist,TTdew,1.0,0.47589540968441235,0.4010110057599697,0.4743801652892562,0.47741065407956845,8.427510891946868,5386
knn-k10-mean-dist,TTdew,2.0,0.4608076102160575,0.3881956708532691,0.44049586776859506,0.4811193526635199,10.238711781424687,5386
knn-k20-median-unif,TTdew,0.0,0.5159007317086762,0.4269671372540178,0.4987603305785124,0.5330411328388401,5.634857697711292,5386
knn-k20-median-unif,TTdew,0.1,0.48404256504851123,0.4027243742923845,0.46033057851239667,0.5077545515846258,6.979422881930784,5386
knn-k20-median-unif,TTdew,0.25,0.47965440279085836,0.39978320033608483,0.45661157024793386,0.5026972353337829,7.467291908280821,5386
knn-k20-median-unif,TTdew,0.5,0.4800511861705388,0.403449271430774,0.4590909090909091,0.5010114632501685,7.751347061599999,5386
knn-k20-median-unif,TTdew,1.0,0.4650652296272354,0.39141411059008324,0.4446280991735537,0.4855023600809171,8.555845508066916,5386
knn-k20-median-unif,TTdew,2.0,0.4642233188254766,0.385939141031849,0.4318181818181818,0.49662845583277143,9.840909658971123,5386
knn-k20-mean-unif,TTdew,0.0,0.498299738635667,0.41470912150219197,0.47603305785123967,0.5205664194200944,7.017585724159358,5386
