Indoor/outdoor condition #;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;;;;;
Exit Temperature (°F):;76,81 ;77,85 ;89,79 ;90,77 ;98,38 ;99,28 ;109,39 ;109,75 ;76,96 ;77,40 ;89,91 ;90,37 ;98,62 ;99,25 ;109,01 ;109,51 ;;;;;
Inlet Pressure (psia):;281,62 ;294,52 ;332,63 ;344,71 ;370,75 ;384,20 ;420,23 ;433,61 ;277,97 ;285,19 ;329,20 ;338,02 ;366,24 ;376,95 ;416,69 ;426,19 ;;;;;
Exit Pressure (psia):;279,11 ;291,65 ;330,42 ;342,08 ;368,71 ;381,75 ;418,32 ;431,41 ;275,68 ;282,54 ;327,10 ;335,67 ;364,29 ;374,78 ;414,87 ;424,12 ;;;;;
Pressure Drop (psid):;2,51 ;2,87 ;2,21 ;2,64 ;2,04 ;2,45 ;1,91 ;2,21 ;2,29 ;2,65 ;2,10 ;2,35 ;1,95 ;2,17 ;1,82 ;2,07 ;;;;;
Exit Subcooling (°F):;8,24 ;10,15 ;7,89 ;8,55 ;7,65 ;8,29 ;6,84 ;7,86 ;7,84 ;8,16 ;7,43 ;7,92 ;7,03 ;7,68 ;6,56 ;7,09 ;;;;;
Inlet Sat. Temperature (°F):;88,41 ;91,57 ;100,35 ;102,97 ;108,38 ;111,07 ;117,91 ;120,33 ;87,49 ;89,29 ;99,59 ;101,53 ;107,47 ;109,63 ;117,25 ;118,99 ;;;;;
Condenser Capacity (Btu/h):;35639,9 ;40243,2 ;34588,4 ;39257,0 ;33921,2 ;38794,1 ;33119,3 ;37455,2 ;33602,5 ;37331,2 ;32989,5 ;36092,7 ;32599,7 ;35658,4 ;31823,0 ;35315,5 ;;;;;
(LIQUID LINE AND TXV);;;;;;;;;;;;;;;;;;;;;
Cond Unit Exit Temp (°F):;77,86 ;78,81 ;90,44 ;92,01 ;98,84 ;100,53 ;109,44 ;110,48 ;77,55 ;78,70 ;90,25 ;91,45 ;98,64 ;99,96 ;109,13 ;110,07 ;;;;;
Cond Unit Exit Pres (psia):;273,34 ;284,72 ;324,50 ;334,55 ;362,52 ;373,92 ;412,50 ;423,64 ;270,63 ;276,34 ;321,64 ;329,15 ;358,56 ;368,14 ;409,36 ;417,23 ;;;;;
Liq-line Pressure Drop (psid):;9,93 ;12,81 ;10,47 ;14,14 ;10,68 ;14,63 ;11,18 ;15,28 ;8,76 ;11,33 ;9,40 ;11,77 ;9,72 ;12,38 ;10,13 ;13,33 ;;;;;
TXV Upstream Pressure (psia):;263,42 ;271,91 ;314,03 ;320,41 ;351,85 ;359,29 ;401,32 ;408,36 ;261,87 ;265,02 ;312,24 ;317,39 ;348,84 ;355,76 ;399,23 ;403,90 ;;;;;
TXV Pressure Drop (psid):;119,35 ;107,85 ;166,44 ;151,58 ;202,10 ;186,07 ;248,34 ;233,76 ;125,74 ;113,69 ;171,19 ;162,07 ;204,83 ;197,08 ;251,56 ;239,29 ;;;;;
Temperature Drop (°F):;0,62 ;0,19 ;0,94 ;0,63 ;1,28 ;0,84 ;1,40 ;1,00 ;0,59 ;0,24 ;0,99 ;0,62 ;1,28 ;0,85 ;1,45 ;1,04 ;;;;;
(COMPRESSOR);;;;;;;;;;;;;;;;;;;;;
Suction Temperature (°F):;59,01 ;69,92 ;60,53 ;68,82 ;61,75 ;69,92 ;63,55 ;71,38 ;55,73 ;62,67 ;58,13 ;64,05 ;59,80 ;65,49 ;62,20 ;67,94 ;;;;;
Discharge Temperature (°F):;133,51 ;137,42 ;151,47 ;150,92 ;164,74 ;162,88 ;181,89 ;179,35 ;134,22 ;134,21 ;152,42 ;151,99 ;165,53 ;164,71 ;183,41 ;180,12 ;;;;;
Suction Pressure (psia):;134,17 ;152,95 ;136,16 ;156,32 ;137,97 ;159,47 ;140,18 ;160,65 ;126,18 ;140,77 ;130,01 ;143,53 ;132,28 ;146,08 ;135,08 ;151,01 ;;;;;
Discharge Pressure (psia):;282,75 ;295,95 ;333,65 ;345,92 ;371,68 ;385,52 ;421,36 ;434,60 ;278,91 ;285,79 ;330,06 ;338,56 ;367,01 ;377,53 ;417,63 ;426,83 ;;;;;
Discharge Superheat (°F):;45,10 ;45,78 ;51,16 ;47,96 ;56,42 ;51,80 ;64,00 ;59,06 ;46,76 ;45,04 ;52,91 ;50,61 ;58,16 ;55,22 ;66,21 ;61,23 ;;;;;
Comp Bottom Shell Temp (°F):;99,75 ;104,81 ;108,08 ;109,48 ;115,57 ;115,29 ;126,54 ;125,47 ;99,65 ;101,14 ;108,50 ;109,54 ;116,03 ;116,03 ;127,71 ;125,52 ;;;;;
Mass Flow Rate (lbm/h):;378,63 ;427,24 ;377,89 ;435,58 ;376,74 ;440,16 ;375,25 ;433,15 ;355,07 ;397,99 ;358,40 ;396,63 ;360,01 ;399,48 ;357,58 ;405,02 ;;;;;
Comp Power Consumption (W):;1467,1 ;1507,0 ;1692,0 ;1757,7 ;1928,2 ;1965,6 ;2201,3 ;2249,9 ;1461,2 ;1474,7 ;1716,0 ;1741,6 ;1915,4 ;1948,5 ;2197,4 ;2222,5 ;;;;;
Cond Unit Inlet Temp (°F):;57,28 ;69,09 ;57,80 ;67,15 ;58,41 ;67,68 ;59,30 ;68,44 ;53,48 ;61,43 ;55,02 ;61,80 ;56,08 ;62,60 ;57,55 ;64,43 ;;;;;
Cond Unit Inlet Pres (psia):;135,49 ;154,24 ;137,45 ;157,57 ;139,24 ;160,73 ;141,41 ;161,83 ;127,53 ;142,08 ;131,33 ;144,83 ;133,60 ;147,36 ;136,35 ;152,24 ;;;;;
